Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,57.0,1.0,57.0,57.0,0.1,49.006999999999984,0.0,0.0,0.005364179611206055,,,,,,,,,,,,,,,,,,,,,21.996328245500788,15.514078652443526,47.84885915946624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,92.0,2.0,35.0,92.0,0.1,27.00700000000001,0.0,0.0,3.9909236431121826,,,,,,,,,,,,,,,,,,,,,11.474005189019786,9.106060037837521,26.658700560805368,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,142.0,3.0,50.0,142.0,0.1,41.00799999999998,0.0,0.0,9.393927574157715,,,,,,,,,,,,,,,,,,,,,17.802901891634846,13.338112140166977,40.19821112946605,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,174.0,4.0,32.0,174.0,0.1,24.00700000000001,0.0,0.0,13.052474737167358,,,,,,,,,,,,,,,,,,,,,10.05047044527786,8.196071795988374,23.73282686665756,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,239.0,5.0,65.0,239.0,0.1,55.00899999999998,0.0,0.0,19.904930591583252,,,,,,,,,,,,,,,,,,,,,24.102518152826892,17.475088894747138,53.549381533752225,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,292.0,6.0,53.0,292.0,0.1,41.010999999999974,0.0,0.0,25.331775665283203,,,,,,,,,,,,,,,,,,,,,16.79806002126508,13.592664636738307,40.2010647473028,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,350.0,7.0,58.0,350.0,0.1,48.00899999999998,0.0,0.0,31.183265447616577,,,,,,,,,,,,,,,,,,,,,20.77761224135606,15.471772726375024,46.89764688612673,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,398.0,8.0,48.0,398.0,0.1,40.006999999999984,0.0,0.0,36.25154232978821,,,,,,,,,,,,,,,,,,,,,17.686234155195603,12.937499381219855,39.23649451308226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,428.0,9.0,30.0,428.0,0.1,22.00700000000001,0.0,0.0,39.64271521568298,,,,,,,,,,,,,,,,,,,,,9.105771111414771,7.582150459317631,21.77735980891558,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,497.0,10.0,69.0,497.0,0.1,60.00799999999998,0.0,0.0,46.734047174453735,,,,,,,,,,,,,,,,,,,,,26.858534325666845,18.75224767775468,58.2712453509856,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
